timestamp,bitcoin_prices,ethereum_prices,tether_prices,binancecoin_prices,ripple_prices,usd-coin_prices,staked-ether_prices,solana_prices,cardano_prices,dogecoin_prices,tron_prices,the-open-network_prices,matic-network_prices,polkadot_prices,wrapped-bitcoin_prices,chainlink_prices,litecoin_prices,bitcoin-cash_prices,shiba-inu_prices,dai_prices,bitcoin_total_volumes,ethereum_total_volumes,tether_total_volumes,binancecoin_total_volumes,ripple_total_volumes,usd-coin_total_volumes,staked-ether_total_volumes,solana_total_volumes,cardano_total_volumes,dogecoin_total_volumes,tron_total_volumes,the-open-network_total_volumes,matic-network_total_volumes,polkadot_total_volumes,wrapped-bitcoin_total_volumes,chainlink_total_volumes,litecoin_total_volumes,bitcoin-cash_total_volumes,shiba-inu_total_volumes,dai_total_volumes,bitcoin_market_caps,ethereum_market_caps,tether_market_caps,binancecoin_market_caps,ripple_market_caps,usd-coin_market_caps,staked-ether_market_caps,solana_market_caps,cardano_market_caps,dogecoin_market_caps,tron_market_caps,the-open-network_market_caps,matic-network_market_caps,polkadot_market_caps,wrapped-bitcoin_market_caps,chainlink_market_caps,litecoin_market_caps,bitcoin-cash_market_caps,shiba-inu_market_caps,dai_market_caps
2018-10-23,6512.589059298922,205.03775490876436,0.9940662171492829,9.82333144163201,0.4567760577976926,1.0204771456056614,,,0.07652767285834672,0.004476690986018304,0.023975140969551202,,,,,0.39381987095039617,52.70468585668032,452.6096984560391,,,2655159954.716826,1242296100.6213374,85638828.46086644,22162400.32660498,317539422.8461864,475698.11633971217,,,22081790.775327433,38638613.49889887,93815098.31087585,,,,,4084674.825420604,500471051.3151233,507985389.2274335,,,112905904007.05743,21065455939.758324,2770816158.1353126,1418914420.2464166,18269961761.09505,0.0,,,2380966046.799423,522287161.5211046,1578485681.0751183,,,,,143511729.4327313,3101800944.040722,7882919742.991595,,
2018-10-24,6472.799660641591,204.08394558056767,0.9904537116835976,9.852828045797988,0.46395378100162,1.006844552537861,,,0.07500108990890238,0.004216525796989082,0.023542825598944207,,,,,0.4356355584398939,52.713733422147214,445.4033039605284,,,2784381146.568883,1232758658.0737,76219991.70180726,29469396.740041867,646754243.9847931,259743.07761605395,,,31022218.396756917,43205613.85083542,98169584.88231578,,,,,20521677.228786092,530751962.7410253,589940258.4502425,,,112227883463.22098,20971271070.992756,2087254167.3464713,1423175948.5071583,18555820663.916576,0.0,,,2333470258.223991,492136865.31140745,1550291114.479024,,,,,158749766.0877997,3102443154.122801,7758091066.857516,,
2018-10-25,6481.443589558082,203.52219877380867,0.9916839064637224,9.764645098080713,0.45879775435088754,1.0096900574205956,,,0.07468096503128797,0.003944350856439767,0.02357627521595615,,,,,0.41230904359148945,52.53136810013208,443.7085579537097,,,2607022301.561287,1220612744.1480913,87281638.96105605,25796971.78121257,520379443.11206263,227379.72065610412,,,26243527.814743724,49560452.788100906,76988938.9795848,,,,,8333231.46440242,487208379.9656199,511724593.20451826,,,112363064964.16649,20915202600.824116,2039936496.9649203,1410437571.060247,18351057348.479713,129207942.55093452,,,2323510377.88441,460290093.0383369,1549558850.4162092,,,,,150083787.27105796,3092383230.7800646,7730247176.9708185,,
2018-10-26,6458.191521836801,202.35302275695466,0.9913896864534957,9.737861458809112,0.4604520388780604,1.0093298967997846,,,0.0743240599265441,0.0037347436219224445,0.023243352478067185,,,,,0.4405343028193709,52.28584394800064,442.49044198425395,,,2618534041.346836,1165395713.6574717,63012137.763688706,21511304.756789215,445181041.13247615,478573.27928325883,,,25776852.92396464,35064154.65149261,76857279.87581816,,,,,4874977.428738573,571307173.5822799,468408886.36191285,,,112010056845.21841,20806627800.42047,2040926052.530425,1406718416.078793,18513396467.526398,128775493.59195422,,,2312350096.010432,436326808.83382016,1527774203.1705296,,,,,160544001.48364922,3079362497.6401024,7710908535.19296,,
2018-10-27,6468.826424965618,203.38496856526396,0.9923976751255891,9.756205635931446,0.461604975148876,1.0157784724489962,,,0.07418254455742584,0.004016186374438423,0.023746630946108637,,,,,0.4305254720381435,52.21902611068149,441.2585464690528,,,2698016930.8820057,1294283606.8483193,85023001.60605739,21058558.02065722,396254310.2027455,480637.374163149,,,30519539.380356006,44783257.158157416,92944435.8566704,,,,,5540227.100123945,594834991.7933757,554731529.4132495,,,112200801079.02803,20912618603.71542,2041779778.3549309,1409211367.354948,18560429762.780533,129502938.57304983,,,2307973630.484609,468470525.8467178,1560368341.8886306,,,,,156900409.81651965,3075470092.805141,7688303099.723791,,
2018-10-28,6457.058635186671,203.18739632422128,0.9940387922558266,9.68839170117153,0.4574333612228476,1.0056238692821504,,,0.0729560413357121,0.0041998152051968855,0.02342482818223616,,,,,0.43961221073615486,51.9181403976021,438.1242825567748,,,2383295890.5582404,1055337328.7702934,52224601.418779545,21566946.368763372,289043924.6332402,337149.8515233129,,,27144868.05053285,52554600.81176609,90582181.55187476,,,,,3614996.1928172098,562394894.7170548,525612506.3252617,,,111998326691.92026,20895701368.92201,2045854211.5300248,1399453693.5336397,18386651634.08071,128177230.83110094,,,2269911926.30423,490660023.157116,1541058009.2762976,,,,,160202377.97357097,3058454834.7808814,7634474338.980507,,
2018-10-29,6481.323141667608,204.7223407022085,0.9966332386186988,9.703464182310324,0.46305842888872795,1.016774736673949,,,0.07348244973317869,0.004126814719167963,0.023562494384215163,,,,,0.43144333531776186,51.924272534508155,441.64565845726327,,,2065446088.788402,1039726472.1950811,66459633.92200124,21788778.692538057,334957518.39887416,111787.67259390782,,,29318523.853630416,32694411.014697835,73681694.17469215,,,,,2926971.07640621,502346940.144167,530778967.35935915,,,112422008134.01062,21050011679.152504,2050417736.83586,1398368251.024187,18621107767.1057,129589926.82555479,,,2285317104.74122,481704176.82065004,1547980242.4111097,,,,,157288787.76535577,3058894149.9227867,7697083129.855223,,
2018-10-30,6292.6479239344,195.7514045211852,0.9942102884098045,9.393117409368257,0.44091381016919695,1.00418109790882,,,0.06968417793305487,0.003919656000868578,0.022125707141165123,,,,,0.41464941958193724,48.83848139041733,416.3368451641067,,,3631795693.013341,1525796041.9084504,74861264.50799078,16899091.906813875,480694704.68585455,390030.24399696314,,,47327062.21127391,49584745.38536904,100705641.16526169,,,,,3050732.286485492,688230920.9360005,593683336.2454476,,,109167179052.3813,20141044164.60023,2045435957.1106632,1356722024.7165382,17730905670.74596,128032732.9641366,,,2168080441.722498,457894783.7404426,1455813925.1905758,,,,,151102216.2718074,2878069798.15499,7256045908.861432,,
2018-10-31,6331.781807909807,197.44844958499,0.9983033404929608,9.435300549696183,0.44672032843053366,1.0037392302463237,,,0.06999555980141604,0.003881583288145091,0.022210233121350162,,,,,0.4522304407288456,49.16100683161013,423.66274305503936,,,1962209613.9889975,977416380.6935779,70119495.43087755,14604141.53155675,227040091.18113282,193593.4113510009,,,32346620.18546746,32110880.53563599,55954983.45689155,,,,,4323184.276291599,523601286.43040526,359711835.87962544,,,109890575608.10541,20319037427.370758,2054102037.623181,1362381725.6963894,17992858602.574776,127904252.15148543,,,2177662436.487608,453614593.52990973,1461161491.1213582,,,,,164733725.33708647,2898278666.3181877,7384800381.328615,,
2018-11-01,6366.720109554257,198.6390488336609,0.9986411344123485,9.479385525298765,0.4536180307581987,1.00194193605794,,,0.07044518548644056,0.003801607115335893,0.0224040560345263,,,,,0.5145429524965809,49.85599624524341,427.4865299384008,,,2042670545.032488,1270047763.0015414,63741585.11531513,18835216.899642177,302071251.8051166,226475.41149282028,,,30032063.72674098,32876351.019865464,47516077.4602771,,,,,9280229.491481863,492670260.4139956,438990654.74158126,,,110487418903.24472,20443374890.788353,2054728480.8758912,1369356960.890323,18235384769.580273,127652782.4548048,,,2191647000.860467,444017276.8605213,1474002805.7693253,,,,,187507327.552774,2938794339.8837705,7456209328.152907,,
2018-11-02,6379.972972168429,199.1226070207313,0.9973784233296817,9.570512200379362,0.4580677016478053,1.00597560454346,,,0.0710370119849948,0.003775351446421488,0.022397363119498075,,,,,0.5234835955407687,50.393596454481255,426.011369705618,,,2922702484.006447,1320296639.6714208,70780437.07928412,16905710.04970785,382968051.22778344,157278.21119808473,,,29976386.264734652,28808918.29954665,81224575.54161952,,,,,23853569.621392168,601590416.7525249,501967062.62779707,,,110896563654.92197,20504797883.626476,2055110924.4811862,1385407963.2317097,18407702949.31377,128091487.97650129,,,2210833506.6561737,440948457.8740231,1476619375.1065595,,,,,191153957.27840656,2977263358.074986,7443275467.238694,,
2018-11-03,6425.4415830402095,202.28275716666218,0.9985222308043559,9.645800855328723,0.46171766648449136,1.0096509551570723,,,0.07317153109265498,0.0037878630119686945,0.022948103346737827,,,,,0.5023904733386136,51.73503650248577,466.1534003386235,,,2675454291.399585,1261558842.1750631,39349133.67774813,18314703.362777498,493211574.1821052,301594.61617014447,,,38683460.26038865,32429149.79112027,99063422.79666281,,,,,5387873.9262552,518696063.19046414,864938776.0643849,,,111528929052.5205,20827898393.480133,2054366245.874898,1393273729.126173,18563394440.707493,133609203.34167849,,,2276564683.51858,442502544.44393545,1509733452.1490579,,,,,183082487.74408126,3052262866.102281,8130359611.957044,,
