timestamp,bitcoin_price,ethereum_price,tether_price,binancecoin_price,ripple_price
2023-10-22,29944.684536614674,1637.455126170573,1.0004692808466829,214.99736603491328,0.5180703508768953
2023-10-23,30019.38050086351,1664.5706380939323,1.000826942039008,217.94890437013547,0.5228950727532569
2023-10-24,32953.262760830985,1764.9303085804013,1.0013237982311833,228.2427461737632,0.5457748399611067
2023-10-25,33846.72425733224,1784.773410988584,1.0001541574143247,225.09316646086626,0.5582475426640131
2023-10-26,34498.18414928194,1787.2927821519538,1.0005947290368842,222.1371456041669,0.5550786545431595
2023-10-27,34174.451552912586,1804.1617691384567,0.9998327204457124,223.09283939029933,0.5538368191324367
2023-10-28,33899.09305644032,1780.5704118622923,0.9996051754909114,224.3183649961432,0.54594603037128
2023-10-29,34092.630932838576,1776.3535658345309,1.0000488346741896,225.705788485733,0.5451150555810712
2023-10-30,34524.94714831651,1796.7359917952822,1.0005890660102472,227.05701446601017,0.5559811568921404
2023-10-31,34494.37986890222,1809.528990660523,1.000347428763431,228.13939362414825,0.5790708639179344
2023-11-01,34672.2892841885,1816.803148929945,1.00074486400704,226.56541637204373,0.6004457063634022
2023-11-02,35457.45491210553,1846.482230513473,1.0004478935621925,227.87876216969727,0.6093844677140858
2023-11-03,34924.05545044328,1800.9071798806326,0.9999118805386404,231.82826563680618,0.6065634645569307
2023-11-04,34731.38136896784,1834.1730567056395,1.0004190058472446,230.7559827119548,0.6128581253381936
2023-11-05,35077.87470723552,1857.0676340615569,1.0003484488254686,237.36224227668595,0.6160989383083236
2023-11-06,35061.92874919579,1895.9380660074166,1.0005094562813295,244.32691511361557,0.659180464466165
2023-11-07,35031.26888208706,1898.5182255844231,1.0006699109069226,253.40549350351324,0.7155023481986591
2023-11-08,35439.84937787805,1887.8784739090988,1.0003984249519506,246.3054976986205,0.6859782241445492
2023-11-09,35647.75103125014,1887.797756275145,0.998575453248991,246.81794698254208,0.686595049416957
2023-11-10,36768.42081912672,2128.6095039438633,1.000460116393782,251.36483322400602,0.667769491856625
2023-11-11,37344.249000720345,2078.853466304058,1.0003426961904456,250.93328516175865,0.659591296809527
2023-11-12,37122.722824306555,2052.994586063755,1.0010756356895707,251.59265640705053,0.6629780776327308
2023-11-13,37067.69698212008,2045.427373217963,1.0006969772032275,247.66820932907157,0.6617306678666898
2023-11-14,36549.16204829837,2060.5328561356905,0.999570874192735,241.23693713447562,0.6710329983039047
2023-11-15,35545.201433454065,1980.5154306252414,1.0000625446476035,242.14218372949267,0.6295797575234952
2023-11-16,37903.66245166294,2060.8841666238086,1.0007610753819138,253.88343681015218,0.6499017732587722
2023-11-17,36163.46689036523,1959.256967930386,0.9988426973381259,242.52783654228807,0.6113516336623659
2023-11-18,36618.603212685804,1962.6581500942752,1.0020467050378306,244.9935638187209,0.6141316580739055
2023-11-19,36588.255832804745,1962.6305661102026,1.0007669521176588,244.82839666850936,0.6106601785005326
2023-11-20,37413.99460790531,2011.1267210635335,0.999726160731128,246.23360281615726,0.6269907137854658
2023-11-21,37489.298470802016,2022.3881475372507,1.0004461904234072,253.37297951943324,0.6122065789959923
2023-11-22,35965.36036068078,1944.2089777255314,1.00076262432449,227.95084111194794,0.5820758396229861
2023-11-23,37464.83293220907,2065.9414413104028,0.9999603937872666,236.0966164348773,0.611723936220727
2023-11-24,37293.316127426726,2062.269551857858,0.9998781450073935,233.74947308470354,0.6203233552111861
2023-11-25,37738.93169747125,2080.8517575183496,1.0010385932263373,232.86133711676447,0.6219794905425804
2023-11-26,37800.28217309619,2084.5750620832714,1.000407722119255,234.4166030015936,0.6231287734586637
2023-11-27,37479.4639007697,2064.0742181655314,1.0001890248485028,232.07104496973466,0.6168507134180319
2023-11-28,37275.70298263105,2027.218232364721,0.9997010006667248,227.47544482583783,0.6036903340919112
2023-11-29,37802.23604377473,2048.535256652576,1.0004975936742937,229.52752578033886,0.6110056482992303
2023-11-30,37810.34641654128,2025.9373276989,1.0000119222297428,227.0791355736287,0.609145110324393
2023-12-01,37711.81837585267,2051.7567179446996,0.9996172780981172,227.6025546782398,0.6058189108224676
2023-12-02,38688.25874179069,2085.7123613209396,1.000559452116723,228.45099800633835,0.6130010434931292
2023-12-03,39481.666416062864,2165.297880951399,1.0006901682204832,229.2586524423362,0.6205777815226358
