Date,AMZN_price,GOOGL_price,HPQ_price,IBM_price,QCOM_price,AMZN_volume,GOOGL_volume,HPQ_volume,IBM_volume,QCOM_volume
2021-08-11,165.38724517822266,136.97699737548828,29.979999542236328,135.8843231201172,145.5949935913086,58944000,15352000,5644800,4455960,6216000
2021-08-12,164.60449981689453,136.36275482177734,30.255000114440918,136.3432159423828,147.19499969482422,46282000,16506000,5329400,2184780,5777700
2021-08-13,164.72674560546875,137.44475555419922,29.56999969482422,136.72084045410156,148.1199951171875,41134000,15948000,11393300,1997965,5764000
2021-08-16,162.77825164794922,136.83074951171875,29.079999923706055,136.69693756103516,147.9000015258789,66394000,22384000,7672800,2913319,4410800
2021-08-17,162.6542510986328,137.1737518310547,28.859999656677246,135.87476348876953,145.28500366210938,67758000,21716000,8946000,3215195,7256800
2021-08-18,161.35250091552734,136.21300506591797,28.464999198913574,134.4694061279297,143.31999969482422,56086000,19258000,8190300,3672192,6546500
2021-08-19,160.3864974975586,135.3012466430664,27.835000038146973,132.24665069580078,140.2050018310547,75658000,21782000,9137800,4351465,8661000
2021-08-20,159.58924865722656,136.4020004272461,28.09500026702881,132.24187469482422,141.27999877929688,67168000,31194000,7878800,2780059,6141000
2021-08-23,162.2727508544922,139.24099731445312,28.454999923706055,133.34130096435547,143.4800033569336,65362000,28454000,6733600,3179422,6936900
2021-08-24,164.7517547607422,141.2092514038086,28.744999885559082,133.62810516357422,144.71499633789062,51036000,19268000,6974000,2474418,7066800
2021-08-25,165.17874908447266,141.78275299072266,29.300000190734863,133.96749877929688,144.4499969482422,33606000,15848000,11460300,2105389,5721600
2021-08-26,165.70000457763672,141.88724517822266,29.29499912261963,133.6089859008789,142.68999481201172,41976000,20610000,12504100,2613640,6825100
2021-08-27,166.65174865722656,143.00474548339844,28.30500030517578,132.88241577148438,143.43499755859375,48048000,28780000,23469000,2572637,6274500
2021-08-30,170.00550079345703,145.0667495727539,29.604999542236328,133.22179412841797,146.70999908447266,63844000,24434000,13430400,2087293,5263600
2021-08-31,171.7042465209961,144.72624969482422,30.010000228881836,133.7906265258789,146.0449981689453,87128000,22448000,14276400,4429915,7820500
2021-09-01,175.05599975585938,145.5687484741211,29.464999198913574,133.48948669433594,147.16000366210938,72598000,21936000,11839800,2588327,6451400
2021-09-02,174.17400360107422,144.3522491455078,29.515000343322754,133.40343475341797,145.6999969482422,58474000,32342000,8280900,2840413,6006700
2021-09-03,172.97775268554688,143.27774810791016,29.74000072479248,133.73326873779297,145.11000061035156,51514000,19850000,8119600,2009575,5505800
2021-09-07,175.12574768066406,144.09200286865234,29.109999656677246,132.67208099365234,143.93999481201172,54758000,20124000,11345800,3436110,6361200
2021-09-08,176.0324935913086,143.6999969482422,28.320000648498535,132.26099395751953,142.55500030517578,61068000,18344000,9890000,3122728,5981300
2021-09-09,175.75899505615234,143.74400329589844,28.199999809265137,132.1797332763672,142.4949951171875,54384000,15314000,7907700,3669682,6190800
